timestamp,inputOther,output,inputCacheRead,inputCacheCreation,cost,messageId,model
1778350056302.1323,1810,170,12288,0,0.011464,"chatcmpl-daJLgw69L6DQbiHLJwQ5VxXP",
1778350062987.2446,224,32,14080,0,0.007808000000000001,"chatcmpl-9VeWB6DErZofP3A7K7pd2jSc",
1778624947125.978,5658,479,10496,0,0.021353999999999998,"chatcmpl-NmSYl8dr9i2yMycaapU8MO3W",
1778625048381.9165,540,145,16128,0,0.010594,"chatcmpl-CgS1rPfTwpWtyA8ifLOX0WPl",
1778625053073.3857,1446,129,16640,0,0.012502,"chatcmpl-wJutuH1NiB3GSdZ2ZuKMm0rl",
1778625058782.6462,3403,173,17920,0,0.017495999999999998,"chatcmpl-nI184fpZjy4DkMyoqmmN96uE",
1778625092704.7803,333,1384,21248,0,0.02513,"chatcmpl-fKJfoEZQeCkoJosGNjFi30nh",
1778625094833.4722,1531,37,21504,0,0.014183999999999999,"chatcmpl-cnwx4V3YlWRxh832ppzQXHex",
1778625101528.5393,1390,266,22784,0,0.016832,"chatcmpl-UCYrptXirvOFAScMO8IkoRdI",
1778625169903.2866,400,790,24064,0,0.020732,"chatcmpl-wyjCMxATc7wx9D3c3GoLknVr",
1778625454495.576,65,1042,26112,0,0.023606000000000002,"chatcmpl-rDFro4kWr9Vw7xq3IlUS7QGm",
1778625468665.8477,1557,616,26112,0,0.02233,"chatcmpl-tV1RauJjLJ14gD6HHoTD4LtZ",
1778625478418.422,764,315,27648,0,0.018501999999999998,"chatcmpl-pMX0UixWnq3ttzQStojEzrof",
1778625643730.3577,582,643,28160,0,0.021674,"chatcmpl-Ki3Uj6pg4B4WrtbAH08B3tsB",
1778625676510.835,936,1489,28672,0,0.031098,"chatcmpl-VdzZQNOrZDoLPLxRmApP1olN",
1778625709786.1921,2220,1572,29440,0,0.03488,"chatcmpl-x2Pu4Sqbhb5EHSgBWj3lcTeJ",
1778625720867.7917,2211,454,31488,0,0.024706,"chatcmpl-m02J1G3HKIN6q3r16oaS6XFo",
1778625750168.7012,917,1410,33536,0,0.032702,"chatcmpl-NniryN7v2WYaItygyxMGyU1F",
1778625760819.0527,2026,450,34304,0,0.025704,"chatcmpl-GohcQ2noHJhg6JsXRchysboZ",
1778625774884.5413,724,649,36096,0,0.025986000000000002,"chatcmpl-k8u7sYPyG5l7ejQOlPkn5SkZ",
1778625783658.2751,942,259,36608,0,0.022778,"chatcmpl-vad9kb9TszVpTIrxIz81Fh8t",
1778625807325.7112,457,246,37376,0,0.022062,"chatcmpl-uef5Zcc1nlsdiwfmJPhnL2xQ",
1778625814300.711,959,241,37632,0,0.023143999999999998,"chatcmpl-eoa6A35a26FXJJekXtQrqSYZ",
1778625821406.511,944,256,38400,0,0.023648,"chatcmpl-2LXFZByTPx6yIaIi2t1KLDdB",
1778625834558.2615,944,543,39168,0,0.026902000000000002,"chatcmpl-jVOHqPWBPpiupFBbJl24Atj1",
1778625839647.4858,1718,141,39936,0,0.024814,"chatcmpl-EyHV0upkO5yBqwLZDULl4bW0",
1778625853568.8467,811,556,41472,0,0.027918000000000002,"chatcmpl-5fJSwA5iMFG657NzSzluAy4n",
1778625909401.7678,1249,2579,42240,0,0.049408,"chatcmpl-sU33emWcSVLgrfv4gQkqgL5F",
